id,created_at,text,hashtag
602823004494651392,2015-05-25 13:06:18,SPC upgrades risk of severe weather to moderate for portions of Texas and southern Oklahoma today http://t.co/6hSFzHTFTx,
596293859585359872,2015-05-07 12:41:49,Potential for severe weather outbreak Saturday - SPC already has parts of Kansas and Oklahoma at moderate risk  http://t.co/AqI87Wj9P1,
592326796516798464,2015-04-26 13:58:07,Enhanced risk of severe storms today over much of Texas http://t.co/DRSaE8bYCQ,
585747099976859648,2015-04-08 10:12:45,Enhanced risk of severe storms  from part of Ok through western Il today http://t.co/DRSaE8tA1q,
585218759532642306,2015-04-06 23:13:19,"SPC slight risk of severe thunderstorms for wed in central U.S., day 3 convective outlook http://t.co/AqI87WALdB",
575784114168561665,2015-03-11 22:23:25,"Capracotta, Italy may have received 100.8 inches of snow in just 18 hours - would be world record for 24-hour period http://t.co/jAaf15Bx9T",
573668095488847872,2015-03-06 02:15:06,Hundreds of stranded drivers stuck over 12 hours on Kentucky highway during winter storm http://t.co/RjGEf6ZkU0,
571911125933023232,2015-03-01 05:53:32,Schmoyoho creates thundersnow song featuring Jim Cantore http://t.co/7rW7aV3isD (via @videonacho),
570982727832498176,2015-02-26 16:24:25,Alabama drivers stranded on I-65 overnight due to winter storm http://t.co/j9qysiIPAw,
566725849056280577,2015-02-14 22:29:06,NASA study finds increase in carbon emissions boosts risk of megadroughts http://t.co/ZNTVHImqIn  (via @science),
566244263500185601,2015-02-13 14:35:27,Blizzard watches issued from Cape to Maine. More snow for Boston http://t.co/n7myYVwuyy,
562273342573391874,2015-02-02 15:36:26,"Weekend Snowstorm: Chicago gets 19.3 inches for 5th biggest snowstorm, Detroit gets 16.7 inches for its 3rd biggest http://t.co/DqpIiVGMGD",
560366399730622464,2015-01-28 09:18:55,Funny or Die launches free weather app for iOS devices http://t.co/B2345aDc1j #funnyordie,funnyordie
559471746101678080,2015-01-25 22:03:53,NWS warns NYC faces crippling and potentially historic blizzard with 20 to 30 inches of snow and 30 to 40 mph winds. http://t.co/DGpkaD1yIH,
559453919089135616,2015-01-25 20:53:03,Blizzard Watch issued for New York City and Boston http://t.co/DGpkaD1yIH,
558770190691749888,2015-01-23 23:36:09,Video: Driver narrowly avoids getting clobbered by falling trees during a storm in Australia http://t.co/bDAZ6FqsAq,
553063268734869504,2015-01-08 05:38:53,Arctic blast to impact much of U.S. http://t.co/N9SQIuPlFh,
551769388638949376,2015-01-04 15:57:28,NASA's new soil moisture satellite  - launch date Jan 29 - may improve weather forecasts http://t.co/zqy5o3py6F,
543177237374046208,2014-12-11 22:55:19,Monster storm brings strong winds and heavy rain to California http://t.co/WDLasrAEeb,
542440557671235584,2014-12-09 22:08:01,"Researchers say California drought is the worst drought in the region in 1,200 years http://t.co/vZCDS1oOoq (via @science)",
536055050003415040,2014-11-22 07:14:17,"At least 13 storm-related deaths and 30 major roof collapses reported in the Buffalo, NY area http://t.co/ZOpefvt9IC",
534813827322232832,2014-11-18 21:02:07,Lake-effect snow pummels Great Lakes states http://t.co/bTu3xTIJud,
532739548233887745,2014-11-13 03:39:40,Al Roker trying to break Guinness World Record for the longest uninterrupted live weather report broadcast  http://t.co/lIawzwhzte,
531295851574861825,2014-11-09 04:02:56,Monster storm becomes strongest on record for Alaska http://t.co/j2PeLkC8Tz,
531097135442579456,2014-11-08 14:53:19,Typhoon Nuri remnants RT @StuOstro: #Superbombogenesis http://t.co/1POf8gw4mt,Superbombogenesis
501847505903308801,2014-08-19 21:45:43,Hail storm dumped up to two feet of hail in Mexico City http://t.co/k899nTIMr2,
478830536257855488,2014-06-17 09:24:30,"Pilger, Nebraska hit by a pair of tornadoes http://t.co/1KmpJIkH5b",
473959040871976960,2014-06-03 22:46:55,Destructive winds being reported in parts of central plains and midwest during severe weather outbreak http://t.co/AQAYjLqPcL,
473563351809671168,2014-06-02 20:34:36,NOAA: Near normal or below normal Atlantic hurricane season likely in 2014 http://t.co/YELpJfHwQq (via @hurricanes),
470505204988014592,2014-05-25 10:02:37,Video shows thick fog rolling in over Lake Michigan http://t.co/YY1cllBopm,
460511147989671936,2014-04-27 20:09:48,The SPC has upgraded to a rare high risk advisory for portions of southern Arkansas http://t.co/DRSaE8cwZq,
459100151819157504,2014-04-23 22:43:00,Possible multi-day tornado outbreak in the U.S. this weekend http://t.co/3BShjWSipf,
455018315061010432,2014-04-12 16:23:14,Storm Prediction Center forecasts moderate risk of severe storms Sunday in eastern Oklahoma http://t.co/gd4Jmnwoun,
451568877755826176,2014-04-03 03:56:24,Ancient Egyptian calcite block contains world's oldest weather report http://t.co/C6a85cfmBa (via @science),
451431208270839808,2014-04-02 18:49:21,Storm Prediction Center forecasts moderate risk area for Thursday http://t.co/gd4Jmnwoun TWC has more details: http://t.co/AQAYjLqPcL,
450934879664885760,2014-04-01 09:57:07,Powerful Hong Kong hail storm breaks glass roof at mall http://t.co/3QKdc4007T,
